search_name,full_name,region_id
경상남도 하동군 용강리,경상남도 하동군 용강리,3744
경상남도 남해군 창선면,경상남도 남해군 창선면,3741
경상남도 남해군 대벽리,경상남도 남해군 대벽리,3741
경상남도 남해군 설천면,경상남도 남해군 설천면,3740
경상남도 남해군 갈화리,경상남도 남해군 갈화리,3739
경상남도 남해군 도마리,경상남도 남해군 도마리,3739
경상남도 남해군 서면,경상남도 남해군 서면,3738
경상남도 남해군 남면,경상남도 남해군 남면,3737
경상남도 남해군 미조면,경상남도 남해군 미조면,3736
경상남도 남해군 송정리,경상남도 남해군 송정리,3736
경상남도 남해군 봉화리,경상남도 남해군 봉화리,3735
경상남도 남해군 상주면,경상남도 남해군 상주면,3734
경상남도 남해군 이동면,경상남도 남해군 이동면,3733
경상남도 남해군 평리,경상남도 남해군 평리,3732
경상남도 고성군 거류면,경상남도 고성군 거류면,3730
경상남도 고성군 동해면,경상남도 고성군 동해면,3729
경상남도 고성군 용정리,경상남도 고성군 용정리,3729
경상남도 고성군 마암면,경상남도 고성군 마암면,3728
경상남도 고성군 삼덕리,경상남도 고성군 삼덕리,3727
경상남도 고성군 저연리,경상남도 고성군 저연리,3726
경상남도 고성군 개천면,경상남도 고성군 개천면,3725
경상남도 고성군 오서리,경상남도 고성군 오서리,3724
경상남도 고성군 영부리,경상남도 고성군 영부리,3723
경상남도 고성군 대가면,경상남도 고성군 대가면,3722
경상남도 고성군 부포리,경상남도 고성군 부포리,3721
경상남도 고성군 동산리,경상남도 고성군 동산리,3721
경상남도 고성군 하이면,경상남도 고성군 하이면,3720
경상남도 고성군 동화리,경상남도 고성군 동화리,3719
경상남도 고성군 삼산면,경상남도 고성군 삼산면,3718
경상남도 고성군 신월리,경상남도 고성군 신월리,3717
경상남도 창녕군 부곡면,경상남도 창녕군 부곡면,3715
경상남도 창녕군 구산리,경상남도 창녕군 구산리,3715
경상남도 창녕군 길곡면,경상남도 창녕군 길곡면,3714
경상남도 창녕군 도천면,경상남도 창녕군 도천면,3713
경상남도 창녕군 대봉리,경상남도 창녕군 대봉리,3712
경상남도 창녕군 초곡리,경상남도 창녕군 초곡리,3707
경상남도 창녕군 구계리,경상남도 창녕군 구계리,3711
경상남도 창녕군 대지면,경상남도 창녕군 대지면,3709
경상남도 창녕군 진창리,경상남도 창녕군 진창리,3708
경상남도 창녕군 초곡리,경상남도 창녕군 초곡리,3707
경상남도 창녕군 대합면,경상남도 창녕군 대합면,3706
경상남도 창녕군 가복리,경상남도 창녕군 가복리,3705
경상남도 창녕군 연당리,경상남도 창녕군 연당리,3705
경상남도 창녕군 남지읍,경상남도 창녕군 남지읍,3703
경상남도 창녕군 월하리,경상남도 창녕군 월하리,3703
경상남도 함안군 여항면,경상남도 함안군 여항면,3700
경상남도 함안군 산인면,경상남도 함안군 산인면,3699
경상남도 함안군 칠북면,경상남도 함안군 칠북면,3698
경상남도 함안군 대산면,경상남도 함안군 대산면,3696
경상남도 함안군 법수면,경상남도 함안군 법수면,3695
경상남도 함안군 사정리,경상남도 함안군 사정리,3695
경상남도 함안군 군북면,경상남도 함안군 군북면,3694
경상남도 함안군 박곡리,경상남도 함안군 박곡리,3694
경상남도 함안군 오곡리,경상남도 함안군 오곡리,3692
경상남도 함안군 무기리,경상남도 함안군 무기리,3692
경상남도 함안군 오곡리,경상남도 함안군 오곡리,3692
경상남도 의령군 유곡면,경상남도 의령군 유곡면,3689
경상남도 의령군 상곡리,경상남도 의령군 상곡리,3689
경상남도 의령군 궁류면,경상남도 의령군 궁류면,3688
경상남도 의령군 감암리,경상남도 의령군 감암리,3686
경상남도 의령군 지정면,경상남도 의령군 지정면,3684
경상남도 의령군 화정면,경상남도 의령군 화정면,3681
경상남도 의령군 천곡리,경상남도 의령군 천곡리,3680
경상남도 의령군 신전리,경상남도 의령군 신전리,3680
경상남도 의령군 도산리,경상남도 의령군 도산리,3679
경상남도 의령군 가례면,경상남도 의령군 가례면,3678
경상남도 양산시 매곡동,경상남도 양산시 매곡동,4919
경상남도 양산시 주남동,경상남도 양산시 주남동,4930
경상남도 양산시 어곡동,경상남도 양산시 어곡동,4927
경상남도 양산시 호계동,경상남도 양산시 호계동,4933
경상남도 양산시 중부동,경상남도 양산시 중부동,4932
경상남도 양산시 하북면,경상남도 양산시 하북면,3666
경상남도 양산시 상북면,경상남도 양산시 상북면,3665
경상남도 양산시 내석리,경상남도 양산시 내석리,3665
경상남도 양산시 원동면,경상남도 양산시 원동면,3664
경상남도 양산시 선리,경상남도 양산시 선리,3664
경상남도 양산시 영포리,경상남도 양산시 영포리,3664
경상남도 양산시 가산리,경상남도 양산시 가산리,3663
경상남도 양산시 여락리,경상남도 양산시 여락리,3663
경상남도 거제시 수월동,경상남도 거제시 수월동,4854
