region_id,full_name,search_name,위도,경도
1348,경기도 성남시 분당구 야탑2동,야탑2동,37.40943254,127.1273616
1349,경기도 성남시 분당구 야탑3동,야탑3동,37.41084785,127.1379683
4505,경기도 성남시 분당구 야탑동,야탑동,37.41208569,127.1301675
6697,전라남도 순천시 야흥동,야흥동,34.9133,127.4825
1419,경기도 부천시 약대동,약대동,37.5126,126.7702
3421,경상북도 칠곡군 약목면,약목면,36.03275,128.363738
1192,울산광역시 중구 약사동,약사동,35.570492,129.337088
4361,강원특별자치도 춘천시 약사동,약사동,37.8744,127.7244
1888,강원특별자치도 춘천시 약사명동,약사명동,37.876574,127.724825
3051,전라남도 완도군 약산면,약산면,34.3936081,126.898137
30,서울특별시 중구 약수동,약수동,37.552479,127.0090022
1010,광주광역시 서구 양3동,양3동,35.1575241,126.8939823
1777,경기도 화성시 양감면,양감면,37.08167,126.9454845
2214,충청북도 영동군 양강면,양강면,36.1524323,127.7510291
5030,경상남도 창원시 성산구 양곡동,양곡동,35.1943764,128.6346005
5477,광주광역시 남구 양과동,양과동,35.0874,126.879
2064,강원특별자치도 양구군 양구읍,양구읍,38.1080304,127.9906024
2065,강원특별자치도 양구군 양구읍,양구읍,38.1080304,127.9906024
3169,경상북도 김천시 양금동,양금동,36.110466,128.1233942
3133,경상북도 경주시 양남면,양남면,35.6778108,129.4603262
7074,충청남도 서산시 양대동,양대동,36.7303,126.4507
3510,경상남도 창원시 마산회원구 양덕1동,양덕1동,35.23230246,128.5862012
3511,경상남도 창원시 마산회원구 양덕2동,양덕2동,35.22918178,128.5839086
5009,경상남도 창원시 마산회원구 양덕동,양덕동,35.23229869,128.5862143
5382,경상북도 포항시 북구 양덕동,양덕동,36.08349666,129.4013448
974,인천광역시 강화군 양도면,양도면,37.6628698,126.4220842
6657,전라남도 목포시 양동,양동,34.7964,126.3811
1009,광주광역시 서구 양동,양동,35.1548103,126.9010107
5433,광주광역시 광산구 양동,양동,35.1553,126.6603
1869,경기도 양평군 양동면,양동면,37.4251713,127.7511109
1028,광주광역시 남구 양림동,양림동,35.1404898,126.9164288
3751,경상남도 하동군 양보면,양보면,35.0473125,127.8457194
977,인천광역시 강화군 양사면,양사면,37.7983942,126.4085252
5434,광주광역시 광산구 양산동,양산동,35.1985,126.6897
1071,광주광역시 북구 양산동,양산동,35.2092206,126.8797058
4698,경기도 오산시 양산동,양산동,37.1886,127.0164
2217,충청북도 영동군 양산면,양산면,36.1223465,127.6690052
4599,경기도 안산시 상록구 양상동,양상동,37.34986974,126.8442612
1864,경기도 양평군 양서면,양서면,37.543958,127.325975
1742,경기도 안성시 양성면,양성면,37.059858,127.194487
2085,강원특별자치도 양양군 양양읍,양양읍,38.080658,128.624
2086,강원특별자치도 양양군 양양읍,양양읍,38.080658,128.624
378,서울특별시 서초구 양재1동,양재1동,37.4716412,127.026744
379,서울특별시 서초구 양재2동,양재2동,37.470601,127.041188
6130,서울특별시 서초구 양재동,양재동,37.470101,127.039888
6807,전라북도 김제시 양전동,양전동,35.75603158,126.9013275
4856,경상남도 거제시 양정동,양정동,34.8791992,128.6471994
5919,부산광역시 부산진구 양정동,양정동,35.1721677,129.0687343
1226,울산광역시 북구 양정동,양정동,35.5486417,129.385325
1601,경기도 남양주시 양정동,양정동,37.6163584,127.1871747
507,부산광역시 부산진구 양정제1동,양정제1동,35.1721677,129.0687343
508,부산광역시 부산진구 양정제2동,양정제2동,35.1728764,129.0757562
1808,경기도 양주시 양주1동,양주1동,37.7732673,127.0437813
1809,경기도 양주시 양주2동,양주2동,37.7969422,127.0803634
3668,경상남도 양산시 양주동,양주동,35.3364654,129.0322113
1317,경기도 성남시 수정구 양지동,양지동,37.45484597,127.1609879
1671,경기도 용인시 처인구 양지면,양지면,37.23547291,127.2798487
5230,경상북도 김천시 양천동,양천동,36.0939,128.1054
5478,광주광역시 남구 양촌동,양촌동,35.0653,126.788875
5268,경상북도 상주시 양촌동,양촌동,36.3558,128.1494
2375,충청남도 논산시 양촌면,양촌면,36.1385702,127.2326286
1754,경기도 김포시 양촌읍,양촌읍,37.6572063,126.6254268
6208,서울특별시 영등포구 양평동,양평동,37.538695,126.8885658
6209,서울특별시 영등포구 양평동1가,양평동1가,37.5232,126.8886
6210,서울특별시 영등포구 양평동2가,양평동2가,37.523067,126.883563
6211,서울특별시 영등포구 양평동3가,양평동3가,37.5296,126.8918
6212,서울특별시 영등포구 양평동4가,양평동4가,37.53635,126.89605
6213,서울특별시 영등포구 양평동5가,양평동5가,37.539,126.8925
6214,서울특별시 영등포구 양평동6가,양평동6가,37.541883,126.889838
1860,경기도 양평군 양평읍,양평읍,37.4864179,127.493425
1861,경기도 양평군 양평읍,양평읍,37.4864179,127.493425
313,서울특별시 영등포구 양평제1동,양평제1동,37.52365,126.888238
314,서울특별시 영등포구 양평제2동,양평제2동,37.5364739,126.8939535
3226,경상북도 구미시 양포동,양포동,36.1369821,128.4258
3120,경상북도 포항시 북구 양학동,양학동,36.02527684,129.3503605
5207,경상북도 구미시 양호동,양호동,36.1377,128.3784
6215,서울특별시 영등포구 양화동,양화동,37.5488,126.8883
2423,충청남도 부여군 양화면,양화면,36.1353583,126.8812073
4927,경상남도 양산시 어곡동,어곡동,35.3945,129.0047
5861,대전광역시 중구 어남동,어남동,36.2223346,127.4155875
4302,강원특별자치도 동해시 어달동,어달동,37.5658,129.1128
4655,경기도 양주시 어둔동,어둔동,37.7744,127.0122
1077,광주광역시 광산구 어룡동,어룡동,35.148395,126.779924
4806,경기도 포천시 어룡동,어룡동,37.8848,127.1819
3157,경상북도 김천시 어모면,어모면,36.1805798,128.1187498
6450,울산광역시 북구 어물동,어물동,35.5759,129.426175
4877,경상남도 김해시 어방동,어방동,35.2378,128.9033
2258,충청북도 단양군 어상천면,어상천면,37.10229,128.3588
2554,전라북도 익산시 어양동,어양동,35.95313526,126.9795338
2580,전라북도 익산시 어양동,어양동,35.95313526,126.9795338
5837,대전광역시 유성구 어은동,어은동,36.3705,127.3541
6416,세종특별자치시 어진동,어진동,36.50175615,127.2567185
6829,전라북도 남원시 어현동,어현동,35.37984661,127.3887765
4712,경기도 용인시 기흥구 언남동,언남동,37.29396584,127.1289667
1230,울산광역시 울주군 언양읍,언양읍,35.5692763,129.125761
5350,경상북도 영천시 언하동,언하동,35.9951,128.9599
668,부산광역시 사상구 엄궁동,엄궁동,35.1287029,128.9721288
3013,전라남도 함평군 엄다면,엄다면,35.0103615,126.5158705
2381,충청남도 계룡시 엄사면,엄사면,36.2886055,127.2398733
2383,충청남도 계룡시 엄사면,엄사면,36.2886055,127.2398733
2153,충청북도 충주시 엄정면,엄정면,37.0867288,127.9148629
7125,충청남도 천안시 서북구 업성동,업성동,36.85751063,127.1340517
5383,경상북도 포항시 북구 여남동,여남동,36.07716648,129.4141599
2044,강원특별자치도 정선군 여량면,여량면,37.4706856,128.7205522
